[1556092545.843000] [gics1:29013:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 1839.50
32768, 0, 0.001251
32768, 1, 0.000929
32768, 2, 0.000926
32768, 3, 0.000929
32768, 4, 0.000927
32768, 5, 0.000884
[1556092546.763631] [gics1:29052:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 2142.76
65536, 0, 0.002504
65536, 1, 0.001775
65536, 2, 0.001739
65536, 3, 0.001689
65536, 4, 0.001672
65536, 5, 0.001646
[1556092547.668119] [gics1:29089:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 1899.22
131072, 0, 0.004406
131072, 1, 0.003115
131072, 2, 0.002688
131072, 3, 0.002615
131072, 4, 0.002582
131072, 5, 0.002542
[1556092548.641144] [gics1:29126:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 2198.73
262144, 0, 0.014685
262144, 1, 0.011523
262144, 2, 0.009386
262144, 3, 0.008875
262144, 4, 0.008657
262144, 5, 0.008519
[1556092549.627182] [gics1:29163:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 3391.88
524288, 0, 0.015887
524288, 1, 0.012837
524288, 2, 0.012640
524288, 3, 0.012362
524288, 4, 0.012297
524288, 5, 0.012097
[1556092550.619320] [gics1:29200:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 3274.38
1048576, 0, 0.027083
1048576, 1, 0.021489
1048576, 2, 0.021073
1048576, 3, 0.020699
1048576, 4, 0.020459
1048576, 5, 0.020225
[1556092551.666579] [gics1:29238:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 3356.44
2097152, 0, 0.093495
2097152, 1, 0.081164
2097152, 2, 0.080755
2097152, 3, 0.080959
2097152, 4, 0.081011
2097152, 5, 0.080788
[1556092553.123801] [gics1:29275:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 3345.26
4194304, 0, 0.203591
4194304, 1, 0.176408
4194304, 2, 0.176884
4194304, 3, 0.176228
4194304, 4, 0.176355
4194304, 5, 0.176981
[1556092555.199377] [gics1:29312:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 2995.99
8388608, 0, 0.433098
8388608, 1, 0.389633
8388608, 2, 0.390856
8388608, 3, 0.390470
8388608, 4, 0.389379
8388608, 5, 0.391076
[1556092558.561643] [gics1:29349:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 3359.69
16777216, 0, 1.368713
16777216, 1, 1.307915
16777216, 2, 1.309185
16777216, 3, 1.310253
16777216, 4, 1.311259
16777216, 5, 1.310092
[1556092567.450937] [gics1:29394:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 3311.85
33554432, 0, 2.820250
33554432, 1, 2.705785
33554432, 2, 2.707274
33554432, 3, 2.705601
33554432, 4, 2.704294
33554432, 5, 2.706034
[1556092584.665624] [gics1:29434:0]         sys.c:744  MXM  WARN  Conflicting CPU frequencies detected, using: 3141.02
67108864, 0, 4.041984
67108864, 1, 3.784367
67108864, 2, 3.769997
67108864, 3, 3.756170
67108864, 4, 3.753876
67108864, 5, 3.762030
